LABELS,NEWS
NEGATIVE,کرونا وائرس کن طبی پیچیدگیوں کا سبب بن سکتا ہے؟
NEUTRAL,کووڈ 19 کی نشانیاں اس ترتیب سے ظاہر ہوسکتی ہیں
NEGATIVE,کرونا کی نئی اور شدید قسم ایک اور ملک پہنچ گئی
NEUTRAL,نمونیا کیا ہے ؟ بیماری کی علامات اورعلاج
POSITIVE,"کرونا ویکسین، ترکی اہم کامیابی حاصل کرنے کے قریب"
POSITIVE,کووڈ 19 کے مریضوں کے قریب رہنے والے افراد کے لیے دوا کی تیاری
POSITIVE,ایک اور چینی کمپنی نے پاکستان میں کرونا ویکسین کے کلینیکل ٹرائلز کی اجازت مانگ لی
NEUTRAL,دنیا کب تک کرونا وائرس سے مکمل طور پر محفوظ ہوجائے گی؟
POSITIVE,کرونا وائرس سے صحت یاب ہونے والے افراد کے لیے خوشخبری
NEGATIVE,کرونا کی نئی قسم برطانیہ سے پاکستان پہنچ گئی؟ ڈاکٹر فیصل سلطان نے بتا دیا
NEUTRAL,کورونا وائرس کی دوا : کیا جاپان دنیا کو خوشخبری دینے جارہا ہے؟؟
POSITIVE,صحت مند زندگی کیلئے کون سی غذاؤں کا استعمال ضروری ہے؟
NEUTRAL,کیا صرف فیس ماسک کرونا وائرس سے بچانے کے لیے کافی ہے؟
NEUTRAL,صدر یورپی کمیشن کا کرونا ویکسین کی تقسیم سے متعلق اہم فیصلہ
NEUTRAL,"کرونا وائرس، حاملہ خواتین اور بچے کو کن مہینوں میں زیادہ متاثر کرتا ہے؟"
NEUTRAL,کرونا وائرس کی نئی قسم سے متعلق عالمی ادارہ صحت کا اہم بیان
POSITIVE,ڈاکٹرز نے بزرگ شہری کی ناک میں‌ پھنسا 53 سال پرانا سکہ نکال لیا
NEUTRAL,کورونا ویکسین سے متعلق امریکی دوا ساز کمپنی نے بڑا دعویٰ کردیا
NEUTRAL,موسمِ سرما:‌ گلے کو گِلہ کرنے کا موقع نہ دیں
NEUTRAL,یورپی یونین نے کورونا ویکسین سے متعلق بڑا فیصلہ کرلیا
NEUTRAL,عالمی ادارہ صحت کس ویکسین کی منظوری دینے والا ہے؟ دوا ساز ادارے کا دعویٰ
NEUTRAL,کورونا وائرس سے صحت یاب مریضوں کو کیا کرنا چاہیے؟ ماہرین نے خبر دار کردیا
NEUTRAL,فیس ماسک پہننے کا صحیح طریقہ کیا ہے؟ ماہرین کی نئی تحقیق
NEUTRAL,کیا کرونا وائرس کی نئی قسم کے لیے بچے آسان ہدف ہیں؟
NEUTRAL,"کورونا ویکسین کون سے مریض استعمال نہیں کرسکتے،  سعودی وزارت صحت نے بتادیا"
NEGATIVE,کرونا وائرس کی نئی قسم کے حوالے سے تشویشناک انکشاف
POSITIVE,"علاج کی فیس دس روپے، بھارت کی مسلم ڈاکٹر کا غریبوں‌ کے لیے زبردست اقدام"
NEGATIVE,"کورونا وائرس دماغ میں داخل ہوسکتا ہے، تحقیق میں حیران کن انکشاف"
POSITIVE,کرونا ویکسینیشن کا آغاز کب سے ہوگا؟‌ جاپانی وزارت صحت نے اشارہ دے دیا
NEGATIVE,کرونا زدہ افراد کی شریانوں میں خون کے خطرناک لوتھڑے بننے کا انکشاف
NEGATIVE,"ملک میں پولیو کا ایک اور کیس رپورٹ، 16 ماہ کا بچہ شکار"
POSITIVE,کرونا سے متاثرہ خاتون کے ہاں چار صحت مند بچوں کی پیدائش
NEUTRAL,کورونا ویکسین وبا پر کتنا قابو پاسکتی ہے؟َ عالمی ادارہ صحت نے بتا دیا
NEUTRAL,کیا سبز چائے کرونا وائرس سے بچاؤ میں معاون ہوسکتی ہے؟
NEUTRAL,کورونا ویکسین کتنی کارآمد ہے؟ امریکہ نے آزمائشی نتائج کی تفصیل جاری کردی
POSITIVE,"شمالی کوریا نے روسی ویکسین خرید لی، ملک میں ویکسی نیشن شروع"
NEGATIVE,کورونا وائرس کی وجہ سے ایک اور بیماری میں کمی
NEGATIVE,بڑھاپے میں ہونے والی بیماری کی وہ علامت جو جوانی میں بھی ظاہر ہوسکتی ہے
POSITIVE,20 منٹ میں نتائج دینے والا کرونا ٹیسٹ منظور
POSITIVE,گاجر کے چند فوائد اور شفا بخش اجزا کے بارے میں جانیے
NEUTRAL,"کینسر، ایڈز اور کرونا وائرس کی تحقیقات اور ویکسین، فیس بک پوسٹ کی حقیقت کیا ہے؟"
NEGATIVE,کورونا کی دریافت ہونے والی نئی قسم کتنی خطرناک ہوسکتی ہے؟ ماہرین نے خبردار کردیا
NEUTRAL,کرونا وائرس کے خلاف روسی ویکسین کتنے عرصے تک تحفظ دے سکتی ہے؟
NEGATIVE,کرونا وائرس: گھر میں قرنطینہ ہونے والے افراد کے لیے خطرے کی گھنٹی
NEUTRAL,کوروناوائرس: جاپان سے پاکستان کیلئے بڑی خبر
NEGATIVE,برطانیہ میں کورونا وائرس کی نئی قسم سامنے آگئی
NEUTRAL,کورونا وبا: آئندہ 4 سے 6 مہینے میں کیا ہونے والا ہے؟ بل گیٹس کی نئی پیش گوئی
NEUTRAL,بحرین میں‌ کس کمپنی کی کرونا ویکسین استعمال کی جائے گی؟ اعلان ہوگیا
NEUTRAL,"سینے کا انفیکشن: علامات، علاج اور حفاظتی تدابیر"
NEGATIVE,موٹاپے کا ایک اور نقصان سامنے آگیا
NEUTRAL,گاڑی چلاتے ہوئے کورونا وائرس سے کیسے محفوظ رہا جائے؟
NEUTRAL,کورونا ویکسین کے بعد ماسک لگانے کی ضرورت ہے؟ ماہرصحت نے بتادیا
NEUTRAL,بغیر علامات والے کرونا مریضوں کی تعداد کا کچھ پتا نہیں: عذرا پیچوہو
NEUTRAL,ویکسین لگوانے کے بعد الرجی کے کیسز پر عالمی ادارہ صحت کی اہم ہدایت
POSITIVE,کرونا ویکسین کی مفت فراہمی سے متعلق بحرینی حکومت کا شاندار اعلان
NEUTRAL,کرونا ویکسین: انفیکشن سامنے آنے کے بعد برطانیہ کا بڑا اقدام
NEGATIVE,"کرونا ویکسین پر قوم پرستی، غریب ممالک کے استحصال کا انکشاف"
NEGATIVE,"کالا پانی یا گلو کوما : اندھے پن کا بڑا سبب، علاج کیسے کیا جائے"
NEGATIVE,کورونا کا شکار ہونے کے بعد سب سے پہلی علامت کیا ہوتی ہے؟
NEGATIVE,کورونا کی شدت خواتین سے زیادہ مردوں میں کیوں ہوتی ہے؟ اہم دریافت
NEGATIVE,صارفین ہوشیار! اینڈرائیڈ کی گیارہ اپیلیکیشنز خطرناک قرار
NEGATIVE,تکیے کے غلاف پر کتنے اقسام کے جراثیم ہوتے ہیں؟ حیران کن حقائق
NEGATIVE,یوٹیوب ویڈیو پر تبصرہ مہنگا پڑ سکتا ہے
NEGATIVE,کورونا کے مریضوں میں مختلف علامات : سائنسدانوں کا بڑا انکشاف
NEGATIVE,جاپان پیٹرول سے چلنے والی گاڑیاں کیوں بند کررہا ہے؟ وجہ سامنے آگئی
NEUTRAL,ٹک ٹاک استعمال کرنے والوں کے لیے بڑی خبر
NEUTRAL,نفرت آمیز پوسٹ سے متعلق ٹوئٹر کا بڑا فیصلہ
NEUTRAL,سوشل میڈیا صارفین ہوجائیں ہوشیار!
NEUTRAL,ساڑھے تین کروڑ سال قدیم چیتے کے ڈھانچے کی نیلامی کا اعلان
NEUTRAL,امریکی فوج حیران کن خصوصیت والے نئے جنگی طیارے کی تیاری میں مصروف
NEGATIVE,"خلائی مخلوق کی زندگی دیکھنے کی جستجو، ٹیلی اسکوپ مکمل تباہ"
POSITIVE,"چاند پر تحقیق، چین نے اہم سنگ میل عبور کرلیا"
POSITIVE,سعودی سائنسدانوں‌ نے مصنوعی جلد ایجاد کرلی
NEUTRAL,ہم ایک دوسرے سے کیسے مختلف ہیں؟
NEUTRAL,زوم ایپ استعمال کرنے والوں‌ کے لیے خبر
POSITIVE,چین نے چاند پر تحقیق سے متعلق اہم سنگ میل عبور کرلیا
