TITLE,ENGLISH NAAT,ENGLISH EXPLANATION
I sing your songs in your song,"I will sing your songs
I will sing your songs

You have a smile on your face
I will sing your songs

I will sing your songs
I will sing your songs

I will sing your songs
I will sing your songs

The moon left the stars
Your done giving

Love is done Saiyan
I will sing your songs

I will sing your songs
I will sing your songs

I will sing your songs
I will sing your songs

The flowers were hidden in the nights
You've got a smile on your face

The heart melted
I will sing your songs

I will sing your songs
I will sing your songs

I will sing your songs
I will sing your songs

Hussain's son is in my heart
On anything you say

The heart said yes
I will sing your songs

I will sing your songs
I will sing your songs

I will sing your songs
I will sing your songs","This Naat ""Teera Khawan Mein Tere Geet Gaon"" is a beautiful reward that describes the joys of the ascension and companionship of Prophet Muhammad (peace be upon him). This naat expresses the love of the Messenger while its praises include the love of Allah and the beauty and beauty of the Prophet. Every line of this naat talks about love which gives comfort and peace to the heart of the reader."
Fasting Naat of Muhammad,"Fasting of Muhammad ﷺ
Touching my heart
I see him every time I dream
Happens whenever I'm here

One day this sacrifice falls
This is also a story
No, you lack goods
Still your heart is full

My sacrifice is always
My sacrifice is always
My sacrifice is always
Fasting of Muhammad ﷺ

This is the doomsday of the world
This is the doomsday of the world
Everyone is here
Gulzars are swollen here

This is the doomsday of the world
This is the doomsday of the world
Everyone is here
Gulzars are swollen here

My sacrifice is always
My sacrifice is always
My sacrifice is always
Fasting of Muhammad ﷺ

There are thousands of people in the world
Beloved by Muhammad ﷺ
There is fragrance in the flowers
Beloved by Muhammad ﷺ

There are thousands of people in the world
Beloved by Muhammad ﷺ
There is fragrance in the flowers
Beloved by Muhammad ﷺ

My sacrifice is always
My sacrifice is always
My sacrifice is always
Fasting of Muhammad ﷺ

Fasting of Muhammad ﷺ
Touching my heart
I see him every time I dream
Happens whenever I'm here

One day this sacrifice falls
This is also a story
No, you lack goods
Still your heart is full

My sacrifice is always
My sacrifice is always
My sacrifice is always
Fasting of Muhammad ﷺ","
This naat is a beautiful naat in praise of Muhammad ﷺ in which the love of Muhammad ﷺ and his sacrifice are mentioned. In this naat, the poet describes the virtues of Muhammad's sacrifice, its meaning, and the benefits of those who love him."
The birthday of the Lord has come,"The birthday of the Lord has come
There is moonlight in hearts
There are many beautiful moments
This night is beautiful

It's Eid dear
There is happiness in the hearts
This is the heart of everyone
The birthday of the Lord has come

In the eyes of the Prophet
It is an expression of God
There is God in every age
This is yours

You hide it
Government talk
Even giants become heads
This night is beautiful

It's Eid dear
There is happiness in the hearts
This is the heart of everyone
The birthday of the Lord has come

The scholar became bright
When they are done you
To our parties
You are blessed

The world also became happy
We were happy too
Heaven has also become shining
The birthday of the Lord has come

It's Eid dear
There is happiness in the hearts
This is the heart of everyone
The birthday of the Lord has come","
This Naat describes the joy and happiness of the birthday of the Lord. In this naat, the poet has clearly demonstrated the joys, lights and loving atmosphere on the occasion of your birthday. Through naat people describe your loving life and remember your greatness and glory"
I am the slave of Panjatan,"I am the slave of Panjatan
Put me in a thong

My sacrifice
Put me in a thong

From the world
I am always nervous
make me yours

I want it anyway
Be it happiness or pride
Drink my poison too
Put me in a thong

Always always always
Put me in a thong","
This poem is a naat in praise of Muhammad (peace and blessings of Allah be upon him). The poet has expressed his servitude and submission in the description of his love. They want Allah to bless them with His love and mercy and guide them in every situation. They are ready to make a sacrifice in their love and they always pray to be with that love.

"
The location of your streets,"It is hidden under your eyes
This heart is left among the blacks

Crazy, I tell you
A declaration of my love for all time

It is hidden under your eyes
This heart is left among the blacks

Your every night with me
I don't do any watches

A month has passed
I am lonely, my heart is lonely

It is hidden under your eyes
It left the heart among the blacks","
This poem expresses the heartache that a person has shown his heart by keeping his love a secret. This person is trying to hide his love from others, and he is trying to communicate his love to others, but his heart is left among the blacks. He is trying to express his love but he is unable to pay even after saying everything"
Dua comes to the lab to become my wish ,"A prayer comes to my lips to become my wish
May life be like a candle, my God

Where and where is the death of the distant world?
I have been wandering at your feet for many days

Ahlul Dil is there, Government of Madinah
That I have hidden, I have hidden in the rainy season

A prayer comes to my lips to become my wish
May life be like a candle, my God","
This poem and its meanings are about love and hope. In the poems, the poet has spoken of his heart, in which he hides his love. In this poem, the poet describes the words love, faith, and God's mercy. He hides his wishes and prayers from God and hopes that God will accept his prayers.

"
Tani Noor made a veil at the Noori event,"Tani Noor made a veil at the Noori event
The night of religion has become overshadowed

Gulshan has come from the naats of the Prophet
The scent of roses has become

By the term of faith there is spectacle
The Garden of Paradise has become the host

Gulshan has come from the naats of the Prophet
The scent of roses has become

Tani Noor made a veil at the Noori event
The night of religion has become overshadowed

There are spectacles, someone is doing it here
In the gatherings of the Prophet's prayers

There will be a spectacle with the light of Naat
The religion here is shining

Tani Noor made a veil at the Noori event
The night of religion has become overshadowed","
This Naat is a beautiful expression of love and appreciation of the Holy Prophet (PBUH). It describes the event where the assembly is illuminated by the light of the Prophet's memory and glory, which provides spiritual light and comfort.

"
#VALUE!,"Go ahead, go ahead
Go ahead, go ahead
Go ahead, go ahead

Your color is in colors
Go ahead, go ahead
Your color is in colors
Go ahead, go ahead

Your every hold something
It is in every era
Go ahead, go ahead
Your every hold something
It is in every era

Your enthusiasm is in every age
Everything is yours in every age
Yours is beautiful in all times
Your glory is in all times

Go ahead, go ahead
Your color is in colors
Go ahead, go ahead
Your every hold something
It is in every era","
This naat is an expression of love and prayer in which the poet praises the beauty, beauty, and natural beauty of the Prophet of Islam. In this naat, the poet praises the splendor, beauty, and natural beauty of the Prophet of Islam.

"
Your name is Khawaja Moinuddin,"Your name is Khawaja Moinuddin
Your name is Khawaja Moinuddin
Your name is Khawaja Moinuddin
Your name is Khawaja Moinuddin

Oh, the cradle of mercy is yours
Anyone can find luck here

You said yes to the beggar
Yes, it was a relief

It is Khawaja Moinuddin
It is Khawaja Moinuddin","
This naat describes the love and glory of Khwaja Moinuddin. The name of Khawaja Moinuddin who is the cradle of mercy has been praised. His love and blessings are available to everyone. He accepted the beggar's prayer and made the journey to Rahat easy.

"
O Hasnain's grandfather,"O grandfather of Hasnain, Messenger of Allah
O grandfather of Hasnain, Messenger of Allah

Your colorful soul shines in the moonlit night
In every single night, O Hasnain's grandfather

All are sweet on sweet lips and all have a lovely name
O grandfather of Hasnain, Messenger of Allah

Your mercies are talked about, it seduces everyone's heart
O grandfather of Hasnain, Messenger of Allah

Every beat of my heart is connected to you
Your color is full in my heart, O grandfather of Hasnain

O grandfather of Hasnain, Messenger of Allah
O grandfather of Hasnain, Messenger of Allah","
This naat praises the love of Prophet Muhammad (pbuh) and his qualities. In this naat, poets describe the glory of Prophet Muhammad ﷺ and make his glory and beauty a source of praise. It talks about the love and respect that exists in the hearts of people who have a heart and soul for Hazrat Muhammad ﷺ.

"
